step,d_loss,h_loss,gpu_temp
1,0.693146,0.693285,0
2,0.693114,0.694301,0
3,0.693134,0.693215,0
4,0.693148,0.693172,0
5,0.693144,0.692511,0
6,0.693145,0.693321,0
7,0.693141,0.693611,0
8,0.693154,0.692739,0
9,0.693144,0.69352,0
10,0.693139,0.692152,46
11,0.693148,0.694375,46
12,0.693143,0.692914,46
13,0.69314,0.693178,46
14,0.693149,0.693485,46
15,0.693145,0.693146,46
16,0.693138,0.693142,46
17,0.693149,0.693254,46
18,0.693145,0.692017,46
19,0.693147,0.693743,46
20,0.693139,0.692795,46
21,0.693138,0.693332,46
22,0.69316,0.694089,46
23,0.693139,0.692973,46
24,0.693149,0.693642,46
25,0.693143,0.692382,46
26,0.693142,0.693454,46
27,0.693145,0.692971,46
28,0.693157,0.693841,46
29,0.693142,0.692763,46
30,0.693139,0.693195,50
31,0.693143,0.693332,50
32,0.69315,0.693301,50
33,0.693133,0.693208,50
34,0.693143,0.692058,50
35,0.693148,0.693589,50
36,0.693147,0.693037,50
37,0.693147,0.693276,50
38,0.693141,0.693419,50
39,0.693147,0.693419,50
40,0.693153,0.693213,50
41,0.693142,0.692935,50
42,0.693146,0.69304,50
43,0.693147,0.693393,50
44,0.69315,0.692213,50
45,0.693134,0.69335,50
46,0.693153,0.693296,50
47,0.693147,0.693678,50
48,0.693135,0.692513,50
49,0.693149,0.693947,50
50,0.69315,0.69297,51
51,0.693148,0.69341,51
52,0.693138,0.693065,51
53,0.693146,0.69328,51
54,0.69315,0.692852,51
55,0.693144,0.693521,51
56,0.693147,0.693032,51
57,0.693153,0.692863,51
58,0.693147,0.693227,51
59,0.69313,0.693707,51
60,0.693135,0.693433,54
61,0.693172,0.697478,54
62,0.693147,0.691214,54
63,0.693144,0.693913,54
64,0.693141,0.692571,54
65,0.693131,0.694266,54
66,0.693145,0.692987,54
67,0.693147,0.694001,54
68,0.693155,0.694625,54
69,0.693138,0.693408,54
70,0.693137,0.692069,51
71,0.693155,0.693745,51
72,0.693138,0.693644,51
73,0.693139,0.692858,51
74,0.693152,0.693364,51
75,0.693138,0.693252,51
76,0.69315,0.69264,51
77,0.693146,0.693571,51
78,0.693144,0.692958,51
79,0.693145,0.693367,51
80,0.693145,0.693157,56
81,0.693146,0.693236,56
82,0.693148,0.692801,56
83,0.693141,0.693469,56
84,0.693142,0.693231,56
85,0.693148,0.693207,56
86,0.693136,0.693087,56
87,0.693155,0.693286,56
88,0.693144,0.693202,56
89,0.693133,0.693035,56
90,0.69315,0.693717,57
91,0.693143,0.693176,57
92,0.69314,0.692963,57
93,0.693148,0.693439,57
94,0.693147,0.692802,57
95,0.693142,0.693447,57
96,0.693148,0.692774,57
97,0.693146,0.693262,57
98,0.693142,0.693397,57
99,0.693144,0.693264,57
100,0.693142,0.693323,56
101,0.693146,0.69313,56
102,0.693149,0.692955,56
103,0.693145,0.693106,56
104,0.693137,0.692227,56
105,0.693159,0.694152,56
106,0.693145,0.693128,56
107,0.693145,0.693201,56
108,0.693146,0.694048,56
109,0.693141,0.693271,56
110,0.693147,0.693182,57
111,0.693148,0.693493,57
112,0.693157,0.693396,57
113,0.693143,0.692792,57
114,0.693139,0.69306,57
115,0.693157,0.694804,57
116,0.693143,0.69317,57
117,0.693126,0.693788,57
118,0.693125,0.693118,57
